date,system_value,system_profit,system_return_pct,shadow_value,shadow_profit,shadow_return_pct,baseline_value,baseline_profit,baseline_return_pct,hedge_on
2026-07-10,349067.03,-932.97,-0.267,349126.89,-873.11,-0.249,350000.0,0.0,0.0,False
2026-07-13,349148.82,-851.18,-0.243,348778.49,-1221.51,-0.349,350292.54,292.54,0.084,False
2026-07-14,347100.8,-2899.2,-0.828,346711.61,-3288.39,-0.94,347812.16,-2187.84,-0.625,False
2026-07-15,347495.89,-2504.11,-0.715,347433.81,-2566.19,-0.733,348206.48,-1793.52,-0.512,False
2026-07-16,347630.56,-2369.44,-0.677,347177.29,-2822.71,-0.806,348626.22,-1373.78,-0.393,False
2026-07-17,348537.67,-1462.33,-0.418,347966.2,-2033.8,-0.581,351768.06,1768.06,0.505,False
2026-07-20,351474.09,1474.09,0.421,350524.91,524.91,0.15,350648.69,648.69,0.185,False
2026-07-21,351308.11,1308.11,0.374,350877.47,877.47,0.251,350076.32,76.32,0.022,False
2026-07-22,348583.27,-1416.73,-0.405,348149.96,-1850.04,-0.529,347824.85,-2175.15,-0.621,False
2026-07-23,347133.66,-2866.34,-0.819,346728.29,-3271.71,-0.935,346069.52,-3930.48,-1.123,False
2026-07-24,346679.89,-3320.11,-0.949,346172.21,-3827.79,-1.094,345090.06,-4909.94,-1.403,False
2026-07-27,351271.79,1271.79,0.363,350416.65,416.65,0.119,348117.43,-1882.57,-0.538,False
2026-07-28,352944.68,2944.68,0.841,351526.97,1526.97,0.436,348041.11,-1958.89,-0.56,False
2026-07-29,356747.45,6747.45,1.928,354841.41,4841.41,1.383,350954.0,954.0,0.273,False
2026-07-30,357496.93,7496.93,2.142,355537.23,5537.23,1.582,351806.22,1806.22,0.516,False
2026-07-31,356773.79,6773.79,1.935,356088.89,6088.89,1.74,352989.21,2989.21,0.854,False
2026-08-03,412565.63,12565.63,3.141,410851.14,10851.14,2.713,406105.58,6105.58,1.526,False
2026-08-04,410817.34,10817.34,2.704,408953.98,8953.98,2.238,404538.52,4538.52,1.135,False
2026-08-05,411565.31,11565.31,2.891,409881.49,9881.49,2.47,406236.17,6236.17,1.559,False
2026-08-06,412539.62,12539.62,3.135,411157.14,11157.14,2.789,407150.31,7150.31,1.788,False
2026-08-07,414165.9,14165.9,3.541,412572.39,12572.39,3.143,406047.53,6047.53,1.512,False
2026-08-10,414264.75,14264.75,3.566,412642.34,12642.34,3.161,406961.67,6961.67,1.74,False
2026-08-11,411152.01,11152.01,2.788,409511.32,9511.32,2.378,405031.86,5031.86,1.258,False
2026-08-12,410477.78,10477.78,2.619,408941.59,8941.59,2.235,403856.55,3856.55,0.964,False
