instrument_token,exchange_token,tradingsymbol,tick_size,lot_size,instrument_type,segment,exchange
195520257,763751,0ABCL31-N0,0.01,1,EQ,NSE,NSE
195168001,762375,0HFL28-N0,0.01,1,EQ,NSE,NSE
194580481,760080,0IRFC35-N0,0.01,1,EQ,NSE,NSE
6068225,23704,0MOFSL27-N3,0.01,1,EQ,NSE,NSE
7534593,29432,0NHIT34-N0,0.01,1,EQ,NSE,NSE
7532801,29425,0NHIT35-N0,0.01,1,EQ,NSE,NSE
6580737,25706,0RL34-N0,0.01,1,EQ,NSE,NSE
5964545,23299,0SCL27-YW,0.01,1,EQ,NSE,NSE
6180097,24141,1003IIFL29-NC,0.01,1,EQ,NSE,NSE
5319425,20779,1003ISFL28-N4,0.01,1,EQ,NSE,NSE
5968641,23315,1003SCFL31-Z4,0.01,1,EQ,NSE,NSE
4831745,18874,1003SCL30-BW,0.01,1,EQ,NSE,NSE
5149697,20116,1003SCL30A-NV,0.01,1,EQ,NSE,NSE
6135553,23967,1003SCL31-ZQ,0.01,1,EQ,NSE,NSE
6544897,25566,1003SCL31A-N1,0.01,1,EQ,NSE,NSE
7405825,28929,1003SCL31P-N1,0.01,1,EQ,NSE,NSE
7738369,30228,1003SCL32-N1,0.01,1,EQ,NSE,NSE
3903745,15249,1003SFIL28-NX,0.01,1,EQ,NSE,NSE
6284545,24549,10157PCP27-N0,0.01,1,EQ,NSE,NSE
2041601,7975,1015ECL29-NR,0.01,1,EQ,NSE,NSE
5965569,23303,1015SCFL29-YY,0.01,1,EQ,NSE,NSE
5146113,20102,1015SCL28-NR,0.01,1,EQ,NSE,NSE
3765761,14710,1015SCL28A-AL,0.01,1,EQ,NSE,NSE
4490753,17542,1015SCL28B-AZ,0.01,1,EQ,NSE,NSE
6131713,23952,1015SCL29-ZL,0.01,1,EQ,NSE,NSE
6542849,25558,1015SCL29B-N1,0.01,1,EQ,NSE,NSE
7404801,28925,1015SCL29T-N1,0.01,1,EQ,NSE,NSE
7740417,30236,1015SCL30-N1,0.01,1,EQ,NSE,NSE
193536001,756000,1015UCL27-NF,0.01,1,EQ,NSE,NSE
1749249,6833,1018GS2026-GS,0.01,1,EQ,NSE,NSE
6946305,27134,1020CCSP27-N0,0.01,1,EQ,NSE,NSE
193575425,756154,1025IIFL30-Y3,0.01,1,EQ,NSE,NSE
194235393,758732,1025PATE28-N0,0.01,1,EQ,NSE,NSE
5969153,23317,1025SCFL34-Z5,0.01,1,EQ,NSE,NSE
5383681,21030,1025SCL33-YJ,0.01,1,EQ,NSE,NSE
4837633,18897,1025SCL33A-N1,0.01,1,EQ,NSE,NSE
5970689,23323,1025SCL34-Z8,0.01,1,EQ,NSE,NSE
6137345,23974,1025SCL34A-ZT,0.01,1,EQ,NSE,NSE
6547201,25575,1025SCL34B-N1,0.01,1,EQ,NSE,NSE
6545409,25568,1025SCL34C-N1,0.01,1,EQ,NSE,NSE
7406081,28930,1025SCL34U-N1,0.01,1,EQ,NSE,NSE
7406849,28933,1025SCL34Z-N1,0.01,1,EQ,NSE,NSE
7739905,30234,1025SCL35-N1,0.01,1,EQ,NSE,NSE
7732225,30204,1025SCL35A-N1,0.01,1,EQ,NSE,NSE
6633985,25914,1025UCL26A-N1,0.01,1,EQ,NSE,NSE
193536513,756002,1025UCL27A-NG,0.01,1,EQ,NSE,NSE
193897729,757413,1025VCCL28-N0,0.01,1,EQ,NSE,NSE
7415553,28967,102CCSP27A-N0,0.01,1,EQ,NSE,NSE
3592705,14034,1030SFIL28-NM,0.01,1,EQ,NSE,NSE
5987841,23390,1035CCSP26-N2,0.01,1,EQ,NSE,NSE
6042625,23604,1035CCSP27-N3,0.01,1,EQ,NSE,NSE
193535489,755998,1039UCL26-NE,0.01,1,EQ,NSE,NSE
6634497,25916,1040UCL27B-N1,0.01,1,EQ,NSE,NSE
6180609,24143,1050IIFL29-ND,0.01,1,EQ,NSE,NSE
5320705,20784,1050ISFL28-N5,0.01,1,EQ,NSE,NSE
5967617,23311,1050SCFL31-Z2,0.01,1,EQ,NSE,NSE
5148417,20111,1050SCL30-NU,0.01,1,EQ,NSE,NSE
6134785,23964,1050SCL31-ZP,0.01,1,EQ,NSE,NSE
6544385,25564,1050SCL31A-N1,0.01,1,EQ,NSE,NSE
7405569,28928,1050SCL31T-N1,0.01,1,EQ,NSE,NSE
