ticker,aliases
ABB.NS,ABB India
ADANIENSOL.NS,Adani Energy Solutions
ADANIENT.NS,Adani Enterprises
ADANIGREEN.NS,Adani Green Energy|Adani Green
ADANIPORTS.NS,Adani Ports|APSEZ
ADANIPOWER.NS,Adani Power
AMBUJACEM.NS,Ambuja Cements|Ambuja Cement
APOLLOHOSP.NS,Apollo Hospitals
ASIANPAINT.NS,Asian Paints
AXISBANK.NS,Axis Bank
BAJAJ-AUTO.NS,Bajaj Auto
BAJAJFINSV.NS,Bajaj Finserv
BAJAJHLDNG.NS,Bajaj Holdings
BAJFINANCE.NS,Bajaj Finance
BANKBARODA.NS,Bank of Baroda
BEL.NS,Bharat Electronics
BHARTIARTL.NS,Bharti Airtel|Airtel
BOSCHLTD.NS,Bosch India|Bosch Ltd
BPCL.NS,Bharat Petroleum|BPCL
BRITANNIA.NS,Britannia Industries|Britannia
CANBK.NS,Canara Bank
CGPOWER.NS,CG Power
CHOLAFIN.NS,Cholamandalam Investment|Cholamandalam
CIPLA.NS,Cipla
COALINDIA.NS,Coal India
CUMMINSIND.NS,Cummins India
DIVISLAB.NS,Divi's Laboratories|Divis Laboratories|Divi's Labs
DLF.NS,DLF
DMART.NS,Avenue Supermarts|DMart|D-Mart
DRREDDY.NS,Dr Reddy's Laboratories|Dr. Reddy's|Dr Reddys
EICHERMOT.NS,Eicher Motors|Royal Enfield
ETERNAL.NS,Eternal Ltd|Zomato
GAIL.NS,GAIL India|GAIL
GODREJCP.NS,Godrej Consumer Products
GRASIM.NS,Grasim Industries|Grasim
HAL.NS,Hindustan Aeronautics
HCLTECH.NS,HCL Technologies|HCLTech
HDFCAMC.NS,HDFC Asset Management|HDFC AMC
HDFCBANK.NS,HDFC Bank
HDFCLIFE.NS,HDFC Life
HINDALCO.NS,Hindalco
HINDUNILVR.NS,Hindustan Unilever|HUL
HINDZINC.NS,Hindustan Zinc
HYUNDAI.NS,Hyundai Motor India
ICICIBANK.NS,ICICI Bank
INDHOTEL.NS,Indian Hotels
INDIGO.NS,IndiGo|InterGlobe Aviation
INFY.NS,Infosys
IOC.NS,Indian Oil
IRFC.NS,Indian Railway Finance
ITC.NS,ITC Ltd|ITC Limited
JINDALSTEL.NS,Jindal Steel
JIOFIN.NS,Jio Financial
JSWSTEEL.NS,JSW Steel
KOTAKBANK.NS,Kotak Mahindra Bank
LODHA.NS,Macrotech Developers|Lodha Developers
LT.NS,Larsen & Toubro|Larsen and Toubro|L&T
M&M.NS,Mahindra & Mahindra|Mahindra and Mahindra
MARUTI.NS,Maruti Suzuki
MAXHEALTH.NS,Max Healthcare
MAZDOCK.NS,Mazagon Dock
MOTHERSON.NS,Samvardhana Motherson
MUTHOOTFIN.NS,Muthoot Finance
NESTLEIND.NS,Nestle India
NTPC.NS,NTPC
ONGC.NS,Oil and Natural Gas Corporation|ONGC
PFC.NS,Power Finance Corporation
PIDILITIND.NS,Pidilite Industries|Pidilite
PNB.NS,Punjab National Bank
POWERGRID.NS,Power Grid Corporation|PowerGrid
RECLTD.NS,REC Ltd|REC Limited
RELIANCE.NS,Reliance Industries|RIL
SBILIFE.NS,SBI Life
SBIN.NS,State Bank of India
SHREECEM.NS,Shree Cement
SHRIRAMFIN.NS,Shriram Finance
SIEMENS.NS,Siemens India|Siemens Ltd
SOLARINDS.NS,Solar Industries
SUNPHARMA.NS,Sun Pharmaceutical|Sun Pharma
TATACONSUM.NS,Tata Consumer Products|Tata Consumer
TATAMOTORS.NS,Tata Motors
TATAPOWER.NS,Tata Power
TATASTEEL.NS,Tata Steel
TCS.NS,Tata Consultancy Services|TCS
TECHM.NS,Tech Mahindra
TITAN.NS,Titan Company
TORNTPHARM.NS,Torrent Pharmaceuticals|Torrent Pharma
TRENT.NS,Trent Ltd|Trent Limited
TVSMOTOR.NS,TVS Motor
ULTRACEMCO.NS,UltraTech Cement|UltraTech
UNIONBANK.NS,Union Bank of India
UNITDSPR.NS,United Spirits
VBL.NS,Varun Beverages
VEDL.NS,Vedanta Ltd|Vedanta Limited
WIPRO.NS,Wipro
ZYDUSLIFE.NS,Zydus Lifesciences|Zydus
