ticker,start_date,end_date,sector
ABB.NS,2012-01-01,,INFRA
ADANIENSOL.NS,2012-01-01,,POWER
ADANIENT.NS,2012-01-01,,METAL
ADANIGREEN.NS,2012-01-01,,POWER
ADANIPORTS.NS,2012-01-01,,INFRA
ADANIPOWER.NS,2012-01-01,,POWER
AMBUJACEM.NS,2012-01-01,,CEMENT
APOLLOHOSP.NS,2012-01-01,,PHARMA
ASIANPAINT.NS,2012-01-01,,CONSUMER
AXISBANK.NS,2012-01-01,,FIN
BAJAJ-AUTO.NS,2012-01-01,,AUTO
BAJAJFINSV.NS,2012-01-01,,FIN
BAJAJHLDNG.NS,2012-01-01,,FIN
BAJFINANCE.NS,2012-01-01,,FIN
BANKBARODA.NS,2012-01-01,,FIN
BEL.NS,2012-01-01,,INFRA
BHARTIARTL.NS,2012-01-01,,TELECOM
BOSCHLTD.NS,2012-01-01,,AUTO
BPCL.NS,2012-01-01,,ENERGY
BRITANNIA.NS,2012-01-01,,FMCG
CANBK.NS,2012-01-01,,FIN
CGPOWER.NS,2012-01-01,,INFRA
CHOLAFIN.NS,2012-01-01,,FIN
CIPLA.NS,2012-01-01,,PHARMA
COALINDIA.NS,2012-01-01,,METAL
CUMMINSIND.NS,2012-01-01,,INFRA
DIVISLAB.NS,2012-01-01,,PHARMA
DLF.NS,2012-01-01,,REALTY
DMART.NS,2012-01-01,,CONSUMER
DRREDDY.NS,2012-01-01,,PHARMA
EICHERMOT.NS,2012-01-01,,AUTO
ENRIN.NS,2012-01-01,,INFRA
ETERNAL.NS,2012-01-01,,CONSUMER
GAIL.NS,2012-01-01,,ENERGY
GODREJCP.NS,2012-01-01,,FMCG
GRASIM.NS,2012-01-01,,CEMENT
HAL.NS,2012-01-01,,INFRA
HCLTECH.NS,2012-01-01,,IT
HDFCAMC.NS,2012-01-01,,FIN
HDFCBANK.NS,2012-01-01,,FIN
HDFCLIFE.NS,2012-01-01,,FIN
HINDALCO.NS,2012-01-01,,METAL
HINDUNILVR.NS,2012-01-01,,FMCG
HINDZINC.NS,2012-01-01,,METAL
HYUNDAI.NS,2012-01-01,,AUTO
ICICIBANK.NS,2012-01-01,,FIN
INDHOTEL.NS,2012-01-01,,CONSUMER
INDIGO.NS,2012-01-01,,INFRA
INFY.NS,2012-01-01,,IT
IOC.NS,2012-01-01,,ENERGY
IRFC.NS,2012-01-01,,FIN
ITC.NS,2012-01-01,,FMCG
JINDALSTEL.NS,2012-01-01,,METAL
JIOFIN.NS,2012-01-01,,FIN
JSWSTEEL.NS,2012-01-01,,METAL
KOTAKBANK.NS,2012-01-01,,FIN
LODHA.NS,2012-01-01,,REALTY
LT.NS,2012-01-01,,INFRA
M&M.NS,2012-01-01,,AUTO
MARUTI.NS,2012-01-01,,AUTO
MAXHEALTH.NS,2012-01-01,,PHARMA
MAZDOCK.NS,2012-01-01,,INFRA
MOTHERSON.NS,2012-01-01,,AUTO
MUTHOOTFIN.NS,2012-01-01,,FIN
NESTLEIND.NS,2012-01-01,,FMCG
NTPC.NS,2012-01-01,,POWER
ONGC.NS,2012-01-01,,ENERGY
PFC.NS,2012-01-01,,FIN
PIDILITIND.NS,2012-01-01,,CHEMICALS
PNB.NS,2012-01-01,,FIN
POWERGRID.NS,2012-01-01,,POWER
RECLTD.NS,2012-01-01,,FIN
RELIANCE.NS,2012-01-01,,ENERGY
SBILIFE.NS,2012-01-01,,FIN
SBIN.NS,2012-01-01,,FIN
SHREECEM.NS,2012-01-01,,CEMENT
SHRIRAMFIN.NS,2012-01-01,,FIN
SIEMENS.NS,2012-01-01,,INFRA
SOLARINDS.NS,2012-01-01,,CHEMICALS
SUNPHARMA.NS,2012-01-01,,PHARMA
TATACAP.NS,2012-01-01,,FIN
TATACONSUM.NS,2012-01-01,,FMCG
TATAMOTORS.NS,2012-01-01,,AUTO
TATAPOWER.NS,2012-01-01,,POWER
TATASTEEL.NS,2012-01-01,,METAL
TCS.NS,2012-01-01,,IT
TECHM.NS,2012-01-01,,IT
TITAN.NS,2012-01-01,,CONSUMER
TORNTPHARM.NS,2012-01-01,,PHARMA
TRENT.NS,2012-01-01,,CONSUMER
TVSMOTOR.NS,2012-01-01,,AUTO
ULTRACEMCO.NS,2012-01-01,,CEMENT
UNIONBANK.NS,2012-01-01,,FIN
UNITDSPR.NS,2012-01-01,,FMCG
VBL.NS,2012-01-01,,FMCG
VEDL.NS,2012-01-01,,METAL
WIPRO.NS,2012-01-01,,IT
ZYDUSLIFE.NS,2012-01-01,,PHARMA
